Employee_ID,Date,Print_Count,Print_Volume_MB,Odd_Hours_Print_Count,Odd_Hours_Print_Volume_MB,Total_Presence_Hours,Odd_Hours_Entry,Foreign_Travel_Count,Travel_To_Hostile_Countries_Count,Country_Of_Origin,Country_Risk_Score,Foreign_Citizenship,Criminal_Record,Medical_Issues,Security_Violations,Disciplinary_Actions,Suspicious_Flag
9,2023-01-01,1.7,3.4,0.1,0.2,8.6,Yes,0,0,Israel,1,No,No,No,No,No,0
15,2023-01-01,2.4,4.8,0.1,0.2,8.7,Yes,1,0,Italy,2,Yes,No,No,No,No,0
18,2023-01-01,0.2,0.4,0.1,0.2,8.2,Yes,1,0,France,2,Yes,No,No,No,No,0
30,2023-01-01,3.0,6.0,0.2,0.4,8.3,Yes,1,0,UK,2,Yes,No,No,No,No,0
35,2023-01-01,2.8,5.6,0.3,0.6,9.0,Yes,1,0,USA,2,Yes,No,No,No,No,0
41,2023-01-01,0.4,0.8,0.3,0.6,8.1,Yes,1,0,Spain,2,Yes,No,No,No,No,0
61,2023-01-01,0.9,1.8,0.1,0.2,8.2,Yes,0,0,Israel,1,No,No,No,No,No,0
65,2023-01-01,1.9,3.8,0.4,0.8,8.9,Yes,0,0,Italy,2,Yes,No,No,No,No,0
91,2023-01-01,1.2,2.4,0.5,1.0,8.4,Yes,0,0,Italy,2,Yes,No,No,No,No,0
103,2023-01-01,3.5,7.0,0.8,1.6,8.9,Yes,1,1,North Korea,10,Yes,No,No,Yes,Yes,1
114,2023-01-01,0.4,0.8,0.4,0.8,8.1,Yes,1,0,Japan,2,Yes,No,No,No,No,0
164,2023-01-01,0.3,0.6,0.2,0.4,8.0,Yes,0,0,USA,2,Yes,No,No,No,No,0
167,2023-01-01,4.6,9.2,0.6,1.2,9.1,Yes,1,0,Iran,9,No,No,No,No,Yes,1
2,2023-01-02,1.1,2.2,0.0,0.0,8.3,No,0,0,Japan,2,Yes,No,No,No,No,0
7,2023-01-02,0.7,1.4,0.4,0.8,8.2,Yes,1,0,Germany,2,Yes,No,No,No,No,0
21,2023-01-02,0.8,1.6,0.1,0.2,8.6,Yes,0,0,Israel,1,Yes,No,No,No,No,0
56,2023-01-02,1.1,2.2,0.4,0.8,8.6,Yes,1,0,France,2,Yes,No,No,No,No,0
93,2023-01-02,3.0,6.0,0.0,0.0,8.3,No,1,0,Japan,2,No,No,No,No,No,0
123,2023-01-02,0.5,1.0,0.1,0.2,8.1,Yes,1,0,Germany,2,Yes,No,No,No,No,0
133,2023-01-02,0.5,1.0,0.4,0.8,8.8,Yes,0,0,USA,2,No,No,No,No,No,0
139,2023-01-02,2.4,4.8,0.1,0.2,8.6,Yes,0,0,USA,2,Yes,No,No,No,No,0
164,2023-01-02,2.2,4.4,0.3,0.6,8.9,Yes,0,0,Spain,2,Yes,No,No,No,No,0
166,2023-01-02,2.3,4.6,0.1,0.2,8.5,Yes,0,0,Spain,2,Yes,No,No,No,No,0
172,2023-01-02,1.4,2.8,0.3,0.6,8.6,Yes,1,0,Italy,2,Yes,No,Yes,No,No,0
183,2023-01-02,2.1,4.2,0.4,0.8,8.1,Yes,0,0,Japan,2,Yes,No,No,No,No,0
186,2023-01-02,2.7,5.4,0.0,0.0,8.9,No,1,0,Germany,2,Yes,No,No,No,No,0
12,2023-01-03,2.8,5.6,0.4,0.8,8.3,Yes,1,0,UK,2,Yes,No,No,No,No,0
35,2023-01-03,1.8,3.6,0.3,0.6,8.2,Yes,1,0,Italy,2,Yes,No,No,No,No,0
